Disposition,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperatureÂ ,Stellar_surface_ gravity,Stellar_radius,classification
CP,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.993283,9.0197,5958.2,4.34,1.58,1
CP,15.5077855,4.565,513,2.43432,88.0718,853,8.4362,6122,4.30881,1.17,1
CP,17.4713078,4.4284819,1199.754148,3.5766828,53.3700317,689.3568807,8.0888,5783.54,4.49925,0.974669,1
CP,4.1150576,1.08,487,2.30057,77.3573,826,9.478,5394,4.50942,0.89,1
CP,6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,10.0059,4803,4.52079,0.737189,1
CP,12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,10.0059,4803,4.52079,0.737189,1
CP,3.9228016,1.8736007,31510.90049,13.3368705,91.167589,788.0973496,13.6699,4444,4.438,0.6983,1
CP,0.6047392,1.0403847,1027.683348,1.8625587,528.0253155,1222.59731,11.1186,4046,4.60963,0.580337,1
CP,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.329598,10.1165,3325,4.88693,0.390989,1
CP,9.188506,2.492,460,2.16591,63.4589,786,8.7215,5876,4.48,0.98,1
CP,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215,5876,4.48,0.983215,1
CP,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,8.7581,6153,4.34814,1.14582,1
CP,6.441006,1.812,914,2.56374,87.8902,853,7.3661,4867,4.438,0.8,1
CP,4.0782392,4.8475616,6046.695969,13.898174,1619.008123,1617.82673,10.0068,6501,4.08,1.74836,1
CP,8.34998,1.836,16680,11.1424,19.9348,588,10.1429,4236,4.52,0.74,1
CP,4.0686405,1.8373729,2650.095001,3.7548333,84.108766,772.378302,10.1429,4236,4.52,0.741921,1
CP,8.0277326,4.284,5705,9.06883,248.619,1106,9.02855,5962.7,4.38,1.15,1
CP,12.5187279,5.38,2320,5.58857,626.362,1393,8.9361,5729,4.47,0.98,1
CP,6.2586065,3.201,813,2.51593,232.392,1087,8.9361,5729,4.47,0.98,1
CP,26.3208756,4.414,800,2.71349,26.4328,631,8.9361,5729,4.47,0.98,1
CP,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,8.9361,5729,4.47,0.977727,1
CP,7.0643978,2.424,8268,9.39131,104.311,890,10.2938,5429.6,4.44,0.96,1
CP,8.9534775,2.696,1136,2.35888,45.5604,723,10.2549,5029.5,4.61,0.76,1
CP,6.0344667,1.89,1800,4.44029,64.2648,788,9.179,5586,4.36763,1.05,1
CP,9.6867516,2.512,1669,3.00336,41.6645,707,10.112,4738.1,4.59,0.73,1
CP,2.1031647,5.059,7142,16.7087,14140,3037,10.079,6122,3.93,1.93,1
CP,5.7484439,1.76,1041,2.35215,75.272,820,9.9469,4534,4.61,0.69,1
CP,2.3106428,1.294,6911,8.76741,203.685,1052,10.4782,5339.9,4.41,0.99,1
CP,3.6714717,2.149,4340,10.678,324.114,1182,10.4221,5618,4.06,1.54,1
CP,2.4919771,1.4338141,2093.95942,2.2187585,39.6452664,639.9817426,10.9473,3948,4.68962,0.482388,1
CP,25.5195307,6.6877451,558.3758637,2.9641461,45.6335702,662.8890748,7.9995,5742.22,4.29,1.17321,1
CP,5.0780325,1.2100353,5923.128307,2.6347763,8.1743139,431.253644,13.084,3318,4.9581,0.334125,1
CP,91.6827832,9.7504857,713.2183569,3.239855,5.9944903,399.0780255,10.0564,5802,4.44521,1.01814,1
CP,4.1782656,1.675904,2537.67816,2.1023854,13.9295288,492.7241583,11.556,3442,4.893,0.404403,1
CP,17.9453645,3.0740072,5480.684864,3.3839124,1.9952383,303.1226876,11.556,3442,4.893,0.404403,1
CP,27.3613778,4.0586418,20690.66843,6.4522449,0.8345555,243.7718547,13.802,3050,4.438,0.44128,1
CP,29.0497517,7.117,318,2.84674,257.066,1115,9.0963,8208,4.25979,1.8,1
CP,3.3088922,6.114,4736,24.9862,17074.7,3184,7.87598,6188,4.27166,2.62,1
CP,25.0571312,7.5424225,533.486013,3.2396838,53.1389289,688.6094029,9.6245,5696,4.26563,1.15281,1
CP,24.2454967,3.3725583,6260.67036,3.878568,0.05273,122.2177444,10.2565,3535,4.84874,0.465271,1
CP,14.1758947,3.7543827,907.1324529,2.6231641,53.8795095,690.9961983,8.6522,5723.87,4.438,0.864173,1
CP,19.5901578,4.002861,1182.667864,3.0026428,35.0031418,620.3638839,8.6522,5723.87,4.438,0.864173,1
CP,6.2036219,3.01098,548.9044399,2.056748,162.1675094,910.1452592,8.6522,5723.87,4.438,0.864173,1
CP,3.79589,2.4602856,317.5272928,1.553135,312.1807495,1072.065399,8.6522,5723.87,4.438,0.864173,1
CP,3.4447015,1.912,796,2.00495,231.437,1086,9.91924,3912,4.62642,0.63,1
CP,3.2947689,1.7483103,1324.040277,2.5248559,56.9377632,700.5995436,11.2582,3853,4.63168,0.62326,1
CP,0.7645807,1.07057,394.9832006,1.2407226,399.2723837,1140.084569,11.2582,3853,4.63168,0.62326,1
CP,12.6396982,3.3830702,3292.681286,4.6025162,39.6563977,640.0266601,10.7192,5217,4.59186,0.789425,1
CP,6.4002807,2.1559875,1026.601873,2.2730301,56.4368797,699.0536347,11.0157,4599,4.58487,0.720551,1
CP,18.6548829,5.4431451,1495.444947,4.3869878,27.832077,585.8091542,11.1802,5141,4.49143,0.876154,1
