Disposition,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius,classification,Name,P_CP
PC,82.558548,-42.697946,2459223.146,22.0819969,3.073,1019.0,2.28729,5.94816,435.0,8.2731,4036.3,4.65,0.66,1,6525946,0.9906498637944103
PC,161.156925,6.333475,2460250.965,32.429738,4.419,988.0,2.6538,9.85942,493.0,9.1352,5271.0,4.56,0.83,1,49079670,0.9862065398661599
PC,205.846632,39.248789,2460397.023,17.7456043,2.675,1203.0,2.44767,8.44389,474.0,8.1532,4526.0,4.57,0.72,1,236934937,0.9859009615797858
PC,290.73447,45.297791,2454974.178,13.2511214,4.996,267.0,1.98,123.32,850.0,15.085,5850.0,4.297,1.217,0,14029793,0.9852764759989373
PC,82.558548,-42.697946,2458480.944,12.7187255,3.1582562,1144.178907,2.5924633,12.2599233,477.2453303,8.2731,4036.3,4.65,0.661076,1,7017372,0.9842042404747525
PC,281.767709,54.910682,2459660.641,3.8776815,1.0297542,1077.910551,1.365807,14.7343811,499.6923767,11.9589,3340.0,4.81708,0.410465,1,294594423,0.9840534053854719
PC,180.844348,49.251226,2460364.819,21.4904723,3.802,985.0,2.43328,21.9904,603.0,10.0326,5342.0,4.57,0.83,1,22705558,0.9813218252971564
PC,268.24441,-48.563082,2459383.797,17.7424733,3.082,880.0,2.00179,12.8216,527.0,9.8496,4926.2,4.67,0.69,1,297457992,0.9793646693229254
PC,292.16617,38.739052,2454968.747,17.50441726,4.2585,725.0,3.56,108.78,824.0,13.926,5815.0,4.16,1.329,0,126982221,0.9776306061200205
PC,145.646473,-19.235699,2458518.998,6.2509468,1.1882969,770.1195597,1.1306823,8.76241,438.8091174,9.75311,3479.0,4.8309,0.395397,1,279327604,0.9772926445358051
