Disposition,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius,Planet_name
CP,130.295154,-16.036327,2458518.203,1.6511456,0.9495247,3205.567144,7.7514065,1452.38289,1574.490449,10.6701,5752,4.47122,1.12196,1003831
CP,75.795382,-30.399461,2458438.403,0.8820624,0.5759672,11755.45093,8.3888941,983.4245957,1428.252576,13.1686,4669,4.52,0.782888,1528696
CP,38.271253,-10.352178,2458416.352,10.9245478,1.8716477,653.537141,1.9015018,35.242668,621.4224577,8.8723,4884,4.49,0.74413,4646810
CP,148.161931,35.111008,2458872.341,16.7100422,5.4004652,615.2873631,2.7396616,73.7609475,747.4400609,7.6474,5853.7,4.38636,1.09271,4897275
CP,148.37832,35.570548,2458870.475,0.5734766,0.9004508,818.3903403,1.4969531,225.4185164,988.2507357,10.7818,3466,4.80761,0.420908,4918918
CP,272.267029,45.3369,2459735.896,4.52074,4.175,8520,13.7321,713.859,1440,12.0453,6050,4.14,1.49,7548817
CP,161.879557,36.329434,2459616.492,10.590923,4.105,10290,11.1189,118.413,919,9.58055,6017.1,4.44,1.05,8260536
CP,161.879557,36.329434,2459628.618,4.7728997,2.906,920,3.30213,370.603,1222,9.58055,6017.1,4.44,1.05,8260536
CP,245.28004,31.577041,2458957.925,2.326343,1.2195051,4153.614444,1.9763187,15.1203939,502.933455,13.5042,3244,4.97167,0.261162,8348911
CP,279.358129,18.729952,2459766.956,2.88069,1.784,10380,22.4297,678.487,1421,10.4673,5541,4.36,1.09,8599009
CP,167.232915,34.303015,2458904.816,7.093853,2.5107626,284.2381135,1.6277147,163.4661355,911.9619079,8.3662,5690,4.48062,0.956941,8967242
CP,349.231081,-18.606646,2460205.748,1.2730965,1.48,414,1.57925,660.277,1412,9.926601,5024,4.5685,0.77,9006668
CP,150.115101,39.457751,2459635.364,10.2405483,3.538,9950,8.69623,55.4426,760,10.9184,5251,4.54337,0.84,9348006
CP,20.922457,-8.701794,2459116.013,0.782765,1.2621481,519.1912192,1.7472713,651.9082071,1288.743126,10.4238,4099,4.52,0.727642,10837041
CP,149.823667,-27.392817,2458543.869,3.0876297,2.2386246,40411.81425,13.9011294,95.8571812,798.0423026,14.9181,4105,4.438,0.69386,11561667
CP,2.271509,-27.121745,2458356.367,10.2150168,1.9683066,994.1089045,1.4777754,7.4195034,420.9334696,9.92801,3763,4.83739,0.447336,12421862
CP,105.083329,56.824194,2460298.678,8.082354,3.284,559,2.72432,140.474,959,8.82897,5878.6,4.28,1.24,14336130
CP,17.47474,25.681649,2460602.632,5.147905,5.405,3710,18.0411,1594.76,1760,9.7116,6064,3.57,2.9,15692883
CP,63.266216,20.915157,2459522.825,3.7927572,1.47,24440,9.66312,13.7486,536,13.2239,3575,4.67,0.58,16005254
